,State,Plant,County,Latitude,Longitude,Nameplate capacity (MW),Balancing Authority,Emission intensity (ton/MWh)
98,KY,D B Wilson,Ohio,37.4497,-87.0806,509.4,"Midcontinent Independent Transmission System Operator, Inc..",1.205335
99,KY,E W Brown,Mercer,37.78831,-84.71257,1747.7,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,1.103335
100,KY,East Bend,Boone,38.9036,-84.8514,772,"PJM Interconnection, LLC",1.15588
101,KY,Elmer Smith,Daviess,37.7942,-87.0608,445.3,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,1.143835
102,KY,Ghent,Carroll,38.7497,-85.035,2225.9,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,1.040935
103,KY,H L Spurlock,Mason,38.7,-83.8181,1608.5,"PJM Interconnection, LLC",0.943725
104,KY,HMP and L Station 2,Henderson,37.6469,-87.5028,405,"Midcontinent Independent Transmission System Operator, Inc..",1.3255
105,KY,John S. Cooper,Pulaski,36.9981,-84.5919,344,"PJM Interconnection, LLC",1.12116
106,KY,Mill Creek,Jefferson,38.0525,-85.9103,1717.2,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,1.07105
107,KY,Paradise,Muhlenberg,37.2608,-86.9783,3718.2,Tennessee Valley Authority,0.7406
108,KY,R D Green,Webster,37.6461,-87.5,586,"Midcontinent Independent Transmission System Operator, Inc..",1.178745
109,KY,Shawnee,McCracken,37.1517,-88.775,1750,Tennessee Valley Authority,1.271825
110,KY,Trimble County,Trimble,38.5847,-85.4117,2594.1,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,0.932395
111,LA,Big Cajun 2,Pointe Coupee,30.7261,-91.3692,2632.9,"Midcontinent Independent Transmission System Operator, Inc..",1.137645
112,LA,Brame Energy Center,Rapides,31.395,-92.716667,1707.3,"Midcontinent Independent Transmission System Operator, Inc..",1.16465
113,LA,Dolet Hills Power Station,DeSoto,32.030556,-93.569167,720.7,"Midcontinent Independent Transmission System Operator, Inc..",1.129215
114,MD,AES Warrior Run,Allegany,39.595171,-78.745333,229,"PJM Interconnection, LLC",0.83808
115,MD,Brandon Shores,Anne Arundel,39.18,-76.5389,1370,"PJM Interconnection, LLC",1.167205
116,MD,Chalk Point,Prince Georges,38.5444,-76.6861,2553,"PJM Interconnection, LLC",1.094475
117,MD,Dickerson,Montgomery,39.2097,-77.4644,933,"PJM Interconnection, LLC",1.15006
118,MD,Herbert A Wagner,Anne Arundel,39.1781,-76.5268,1058.5,"PJM Interconnection, LLC",1.14257
119,MD,Morgantown,Charles,38.3592,-76.9767,1548,"PJM Interconnection, LLC",1.02757
120,MI,Belle River,St Clair,42.7756,-82.495,1664.4,"Midcontinent Independent Transmission System Operator, Inc..",1.085235
121,MI,Dan E Karn,Bay,43.644996,-83.840074,1946.3,"Midcontinent Independent Transmission System Operator, Inc..",1.24927
122,MI,Eckert Station,Ingham,42.71839,-84.55808,375,"Midcontinent Independent Transmission System Operator, Inc..",1.454535
123,MI,Erickson,Eaton,42.692222,-84.657222,154.7,"Midcontinent Independent Transmission System Operator, Inc..",1.37276
124,MI,J B Sims,Ottawa,43.0706,-86.235,80,"Midcontinent Independent Transmission System Operator, Inc..",1.058945
125,MI,J H Campbell,Ottawa,42.910296,-86.20074,1579.4,"Midcontinent Independent Transmission System Operator, Inc..",1.107035
126,MI,Monroe,Monroe,41.8906,-83.3464,3293.1,"Midcontinent Independent Transmission System Operator, Inc..",1.08968
127,MI,MSC Sebewaing,Huron,43.741111,-83.447222,2.5,"Midcontinent Independent Transmission System Operator, Inc..",0.58618
128,MI,Neenah Paper Munising Mill,Alger,46.4094,-86.6443,6.2,"Midcontinent Independent Transmission System Operator, Inc..",0.60347
129,MI,Presque Isle,Marquette,46.5789,-87.395,624.7,"Midcontinent Independent Transmission System Operator, Inc..",1.329225
130,MI,River Rouge,Wayne,42.2739,-83.1119,944,"Midcontinent Independent Transmission System Operator, Inc..",1.15049
131,MI,St. Clair,St Clair,42.7642,-82.4719,1928.6,"Midcontinent Independent Transmission System Operator, Inc..",1.147165
132,MI,TES Filer City Station,Manistee,44.217299,-86.28905,323,"Midcontinent Independent Transmission System Operator, Inc..",1.013585
133,MI,Trenton Channel,Wayne,42.1217,-83.1808,775.5,"Midcontinent Independent Transmission System Operator, Inc..",1.21855
134,MN,Allen S King,Washington,45.03,-92.7786,598.4,"Midcontinent Independent Transmission System Operator, Inc..",1.098155
135,MN,American Crystal Sugar Crookston,Polk,47.76468,-96.633375,6.5,"Midcontinent Independent Transmission System Operator, Inc..",1.113609455
136,MN,American Crystal Sugar East Grand Forks,Polk,47.927202,-97.007153,7.5,"Midcontinent Independent Transmission System Operator, Inc..",1.113609455
137,MN,American Crystal Sugar Moorhead,Clay,46.9026,-96.76112,5,Southwest Power Pool,1.113609455
138,MN,Archer Daniels Midland Mankato,Blue Earth,44.187066,-93.99242,10.5,"Midcontinent Independent Transmission System Operator, Inc..",0.60582
139,MN,Boswell Energy Center,Itasca,47.2611,-93.6528,1073.3,"Midcontinent Independent Transmission System Operator, Inc..",1.17526
140,MN,Hibbing,St Louis,47.4294,-92.935,35.9,"Midcontinent Independent Transmission System Operator, Inc..",0.466495
141,MN,Hoot Lake,Otter Tail,46.290641,-96.043252,138.2,"Midcontinent Independent Transmission System Operator, Inc..",1.281855
142,MN,Northshore Mining Silver Bay Power,Lake,47.286573,-91.260531,131.6,"Midcontinent Independent Transmission System Operator, Inc..",0.967875
143,MN,Sherburne County,Sherburne,45.3808,-93.8931,2469.3,"Midcontinent Independent Transmission System Operator, Inc..",1.05852
144,MN,Southern Minnesota Beet Sugar,Renville,44.796405,-95.179787,7.5,"Midcontinent Independent Transmission System Operator, Inc..",0.60396
145,MO,Asbury,Jasper,37.361315,-94.58926,231.5,Southwest Power Pool,1.17859
